Time,Open,High,Low,Close,Adj Close,Volume,bullish,volume_before_1,volume_diff_last_hour,volume_before_2,volume_diff_last_2_hour,volume_before_3,volume_diff_last_3_hour,volume_before_4,volume_diff_last_4_hour,volume_before_5,volume_diff_last_5_hour,close_before_1,close_diff_last_hour,close_before_2,close_diff_last_2_hour,close_before_3,close_diff_last_3_hour,close_before_4,close_diff_last_4_hour,close_before_5,close_diff_last_5_hour,close_before_6,close_diff_last_6_hour,close_before_7,close_diff_last_7_hour,close_before_8,close_diff_last_8_hour,close_before_9,close_diff_last_9_hour,SMA_15,SMA_30,SMA_indicator,SMA_indicator_before_1,SMA_indicator_before_2,SMA_indicator_before_3,SMA_indicator_before_4,Upper_Bollinger,Lower_Bollinger,Middle_Bollinger,close_diff_Upper_Bollinger,close_diff_Lower_Bollinger,Bollinger_indicator,Bollinger_indicator_before_1,Bollinger_indicator_before_2,Bollinger_indicator_before_3,Bollinger_indicator_before_4,true_range,holiday_day_diff_before,date,weekday,time,mean_sentiment_score,median_sentiment_score,std_sentiment_score,max_sentiment_score,min_sentiment_score
08-10-2019 10:30,368.8200073,371,368.6400146,370.2000122,370.2000122,396882,1,932817,740754,192063,-108251,300314,-45593,345907,210648,135259,15343,368.75,-7.660003662,376.4100037,-0.699981689,377.1099854,-0.820007324,377.9299927,2.350006104,375.5799866,0.399993896,375.1799927,0.190002441,374.9899902,0.369995117,374.6199951,-1.010009766,375.6300049,0.750091553,374.6744649,371.8965312,1,1,1,1,1,378.9010665,369.0141313,373.9575989,-8.70105426,1.18588092,3,4,2,2,2,2.359985352,32,8,1,2,0.224331602,0.224331602,,0.224331602,0.224331602
08-10-2019 11:30,370.25,373.5379944,369.6300049,373.3800049,373.3800049,428174,1,396882,-535935,932817,740754,192063,-108251,300314,-45593,345907,210648,370.2000122,1.450012207,368.75,-7.660003662,376.4100037,-0.699981689,377.1099854,-0.820007324,377.9299927,2.350006104,375.5799866,0.399993896,375.1799927,0.190002441,374.9899902,0.369995117,374.6199951,-1.010009766,374.5566325,372.0785675,1,1,1,1,1,378.7714703,369.4407275,374.1060989,-5.391465451,3.939277341,3,3,4,2,2,3.907989502,32,8,1,3,0.057707436,0.067191707,0.146969113,0.292674601,-0.168045178
08-10-2019 12:30,372.9400024,376.980011,372.9078064,375.4750061,375.4750061,630766,0,428174,31292,396882,-535935,932817,740754,192063,-108251,300314,-45593,373.3800049,3.179992676,370.2000122,1.450012207,368.75,-7.660003662,376.4100037,-0.699981689,377.1099854,-0.820007324,377.9299927,2.350006104,375.5799866,0.399993896,375.1799927,0.190002441,374.9899902,0.369995117,374.5949666,372.4410675,1,1,1,1,1,378.8278595,369.7958404,374.31185,-3.352853428,5.679165684,2,3,3,4,2,4.07220459,32,8,1,4,0.14298794,0.175936356,0.14703572,0.374308854,-0.198410973
08-10-2019 13:30,375.4049988,377.0834045,373.3500061,376.269989,376.269989,513840,0,630766,202592,428174,31292,396882,-535935,932817,740754,192063,-108251,375.4750061,2.095001221,373.3800049,3.179992676,370.2000122,1.450012207,368.75,-7.660003662,376.4100037,-0.699981689,377.1099854,-0.820007324,377.9299927,2.350006104,375.5799866,0.399993896,375.1799927,0.190002441,374.7624654,372.7782338,1,1,1,1,1,378.9038311,370.2338673,374.5688492,-2.633842094,6.036121757,2,2,3,3,4,3.733398438,32,8,1,5,0.067241899,0.111875128,0.196552702,0.36972937,-0.319465995
08-10-2019 14:30,376.1878052,377.3399963,375,376.0400085,376.0400085,470783,1,513840,-116926,630766,202592,428174,31292,396882,-535935,932817,740754,376.269989,0.79498291,375.4750061,2.095001221,373.3800049,3.179992676,370.2000122,1.450012207,368.75,-7.660003662,376.4100037,-0.699981689,377.1099854,-0.820007324,377.9299927,2.350006104,375.5799866,0.399993896,374.829659,373.0489003,1,1,1,1,1,378.9949225,370.5242761,374.7595993,-2.954913943,5.515732424,2,2,2,3,3,2.339996338,32,8,1,6,0.243932142,0.287386984,0.102478986,0.391855478,0.060130943
08-10-2019 15:30,376.019989,376.3800049,373.8200073,373.980011,373.980011,434419,1,470783,-43057,513840,-116926,630766,202592,428174,31292,396882,-535935,376.0400085,-0.229980469,376.269989,0.79498291,375.4750061,2.095001221,373.3800049,3.179992676,370.2000122,1.450012207,368.75,-7.660003662,376.4100037,-0.699981689,377.1099854,-0.820007324,377.9299927,2.350006104,374.7696655,373.2219004,1,1,1,1,1,378.9955811,370.5306182,374.7630997,-5.015570148,3.44939278,3,2,2,2,3,2.559997559,32,8,1,7,0.129778639,0.146153346,0.162821992,0.40893057,-0.224751025
09-10-2019 09:30,376,377.8599854,373.6319885,374.2799988,374.2799988,635370,0,434419,-36364,470783,-43057,513840,-116926,630766,202592,428174,31292,373.980011,-2.059997559,376.0400085,-0.229980469,376.269989,0.79498291,375.4750061,2.095001221,373.3800049,3.179992676,370.2000122,1.450012207,368.75,-7.660003662,376.4100037,-0.699981689,377.1099854,-0.820007324,374.6796651,373.4195669,1,1,1,1,1,378.9534002,370.4860499,374.719725,-4.673401384,3.793948869,3,3,2,2,2,4.227996826,31,9,2,1,0.171157938,0.177017882,0.113019225,0.388048738,-0.187103629
09-10-2019 10:30,374.3500061,374.6600037,373.5,374.2399902,374.2399902,434917,0,635370,200951,434419,-36364,470783,-43057,513840,-116926,630766,202592,374.2799988,0.299987793,373.980011,-2.059997559,376.0400085,-0.229980469,376.269989,0.79498291,375.4750061,2.095001221,373.3800049,3.179992676,370.2000122,1.450012207,368.75,-7.660003662,376.4100037,-0.699981689,374.6543315,373.6422333,1,1,1,1,1,378.9247704,370.4486793,374.6867249,-4.684780159,3.791310921,3,3,3,2,2,1.160003662,31,9,2,2,,,,,
09-10-2019 11:30,374.2399902,375.4899902,374.0700073,374.2000122,374.2000122,298036,0,434917,-200453,635370,200951,434419,-36364,470783,-43057,513840,-116926,374.2399902,-0.040008545,374.2799988,0.299987793,373.980011,-2.059997559,376.0400085,-0.229980469,376.269989,0.79498291,375.4750061,2.095001221,373.3800049,3.179992676,370.2000122,1.450012207,368.75,-7.660003662,374.6016663,373.8775665,1,1,1,1,1,378.9310607,370.4866395,374.7088501,-4.731048485,3.713372704,3,3,3,3,2,1.41998291,31,9,2,3,0.18178831,0.167687044,0.110408665,0.298570156,0.079107732
09-10-2019 12:30,374.2399902,375.2999878,373.8099976,373.980011,373.980011,231060,0,298036,-136881,434917,-200453,635370,200951,434419,-36364,470783,-43057,374.2000122,-0.039978027,374.2399902,-0.040008545,374.2799988,0.299987793,373.980011,-2.059997559,376.0400085,-0.229980469,376.269989,0.79498291,375.4750061,2.095001221,373.3800049,3.179992676,370.2000122,1.450012207,374.5216675,374.0315674,1,1,1,1,1,378.8877044,370.4247864,374.6562454,-4.907693409,3.555224537,3,3,3,3,3,1.489990234,31,9,2,4,0.150920578,0.205775052,0.143699323,0.268472403,-0.145933121
09-10-2019 13:30,374.0201111,374.5799866,373.7999878,374.1700134,374.1700134,164504,0,231060,-66976,298036,-136881,434917,-200453,635370,200951,434419,-36364,373.980011,-0.220001221,374.2000122,-0.039978027,374.2399902,-0.040008545,374.2799988,0.299987793,373.980011,-2.059997559,376.0400085,-0.229980469,376.269989,0.79498291,375.4750061,2.095001221,373.3800049,3.179992676,374.4276693,374.1722341,1,1,1,1,1,378.8562175,370.3852834,374.6207504,-4.686204047,3.784730048,3,3,3,3,3,0.779998779,31,9,2,5,0.073227604,0.099087093,0.122630949,0.19260557,-0.225141749
09-10-2019 14:30,374.1700134,376.2200012,374.1209106,376.0737915,376.0737915,356452,0,164504,-66556,231060,-66976,298036,-136881,434917,-200453,635370,200951,374.1700134,0.190002441,373.980011,-0.220001221,374.2000122,-0.039978027,374.2399902,-0.040008545,374.2799988,0.299987793,373.980011,-2.059997559,376.0400085,-0.229980469,376.269989,0.79498291,375.4750061,2.095001221,374.3039225,374.361027,0,1,1,1,1,378.9052346,370.3806449,374.6429398,-2.831443084,5.693146575,2,3,3,3,3,2.099090576,31,9,2,6,0.14136595,0.157996543,0.12744374,0.323970914,-0.185140938
09-10-2019 15:30,376.1300049,376.3800049,374.2449951,374.9299927,374.9299927,427888,0,356452,191948,164504,-66556,231060,-66976,298036,-136881,434917,-200453,376.0737915,1.903778076,374.1700134,0.190002441,373.980011,-0.220001221,374.2000122,-0.039978027,374.2399902,-0.040008545,374.2799988,0.299987793,373.980011,-2.059997559,376.0400085,-0.229980469,376.269989,0.79498291,374.1585897,374.4800273,0,0,1,1,1,378.9226373,370.3942419,374.6584396,-3.992644664,4.535750743,2,2,3,3,3,2.135009766,31,9,2,7,0.165048423,0.21738559,0.155270493,0.350476474,-0.099698991
